ResponseId,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Common difference,Subadditivity,Delay-speedup,Interval markup,Risk preference,Q22_2,Q22_3,Q22_4,Q22_5,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35
AD358,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $550 in 24 months (2 years),Receiving $1100 in 24 months (2 years),Receiving $450 right now,$500 per month for 12 months,A 50% chance of $100 (50% chance of $0),217,108,130,545,Two extra weeks of salary with no additional work in 2133,Things will be much worse,I paid everything and saved some,48276,23033,16117,My financial situation became somewhat worse,I pay off much of the balance,Poor,1994,Prefer not to answer,College or university (Bachelor or equivalent),Not in paid employed (looking for work),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Hispanic,Immigrant"
AD359,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",A 25% chance of $200 (75% chance of $0),188,174,37,601,Two extra weeks of vacation with no change in salary in 2134,Things will be much better,I paid everything but saved nothing,12168,25964,18152,My financial situation became somewhat better,I pay off any balances every month,Below average but not poor,1938,Other,Vocational school,Not in paid employed (looking for work),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White",Non-Hispanic
AD360,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$5,000 right now",A 67% chance of $75 (33% chance of $0),64,155,276,505,One extra week of salary for no additional work in 2133,Things will be somewhat better,"Everything is paid off and I have enough to save, invest, or spend freely",40681,42522,14736,There were no major impacts on my financial situation,I pay off any balances every month,Poor,1964,Woman,Secondary school (high school),Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian","Hispanic,Non-Hispanic,Immigrant"
AD361,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,$500 per month for 12 months,A 75% chance of $67 (25% chance of $0),142,60,27,771,One extra week of vacation for no change in salary in 2133,Things will be much better,I had to take on some debt to pay them,26636,44848,24064,There were no major impacts on my financial situation,I make the minimum payment and the interest is charged,Wealthy,1974,Woman,Primary school,Full-time student,Native Hawaiian,Non-Hispanic
AD362,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",Guaranteed $50,240,130,267,363,Two extra weeks of salary with no additional work in 2134,Things will be much better,I paid everything and saved some,14687,21799,35516,My financial situation became somewhat better,I pay off any balances every month,Around average,1970,Other,Graduate (Masters or equivalent),Employed part-time (less than 25 hours per week),"Asian,Black or African-American,Native Alaskan,Native Hawaiian",Hispanic
AD363,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$6,000 in 12 months",Guaranteed $50,256,55,266,423,Two extra weeks of vacation with no change in salary in 2135,Things will be about the same,I could not pay all my bills last month,18719,42188,30284,My financial situation became much worse,I generally pay off the interest but not the balance,Above average but not wealthy,1941,Other,Graduate (Masters or equivalent),Employed part-time (less than 25 hours per week),"Black or African-American,Native Alaskan,Native American,Pacific Islander","Hispanic,Non-Hispanic,Immigrant"
AD364,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,$500 per month for 12 months,A 25% chance of $200 (75% chance of $0),107,240,109,544,One extra week of salary for no additional work in 2134,Things will be about the same,I paid everything but saved nothing,26745,11162,40590,There were no major impacts on my financial situation,I pay off any balances every month,Wealthy,1943,Man,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),"Asian,Native Alaskan,Native Hawaiian,Pacific Islander",Hispanic
AD365,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",A 50% chance of $100 (50% chance of $0),197,141,72,590,One extra week of vacation for no change in salary in 2134,Things will be somewhat better,I could not pay all my bills last month,21418,28218,35144,My financial situation became somewhat worse,I pay off much of the balance,Around average,1965,Prefer not to answer,Secondary school (high school),Employed full-time (25+ hours per week),"Asian,Black or African-American,Native American,Native Hawaiian,White","Hispanic,Non-Hispanic"
AD366,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",A 75% chance of $67 (25% chance of $0),231,59,155,555,Two extra weeks of salary with no additional work in 2135,Things will be much worse,I had to take on some debt to pay them,40511,28258,12272,My financial situation became much worse,I generally pay off the interest but not the balance,Around average,1935,Man,Primary school,Not in paid employed (looking for work),"Asian,Black or African-American","Hispanic,Non-Hispanic"
AD367,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 50% chance of $100 (50% chance of $0),0,86,89,825,Two extra weeks of vacation with no change in salary in 2136,Things will be somewhat worse,I had to take on some debt to pay them,26350,26744,11394,My financial situation became somewhat better,I never purchase anything on credit or take on debt,Below average but not poor,1943,Other,Graduate (Masters or equivalent),Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Non-Hispanic,Immigrant"
AD368,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $400 right now,$500 per month for 12 months,Guaranteed $50,227,84,169,520,One extra week of vacation for no change in salary in 2038,Things will be somewhat worse,I had to take on a lot of debt to pay my bills last month,33719,39781,24677,My financial situation became much better,I pay off any balances every month,Below average but not poor,1983,Prefer not to answer,Vocational school,Employed full-time (25+ hours per week),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,White",Hispanic
AD369,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$5,000 right now",A 75% chance of $67 (25% chance of $0),196,183,256,365,One extra week of salary for no additional work in 2135,Things will be about the same,I could not pay all my bills last month,42282,36251,34702,My financial situation became somewhat worse,I pay off any balances every month,Around average,1934,Prefer not to answer,Secondary school (high school),Not in paid employed (looking for work),"Native Alaskan,Native Hawaiian,White","Hispanic,Immigrant"
AD370,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 50% chance of $100 (50% chance of $0),48,163,187,602,One extra week of vacation for no change in salary in 2135,Things will be somewhat better,"Everything is paid off and I have enough to save, invest, or spend freely",49244,36626,38671,My financial situation became somewhat better,My debts increase beyond what I earn in a given month,Below average but not poor,1920,Man,Secondary school (high school),Not in paid employed (looking for work),Pacific Islander,Immigrant
AD371,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",A 50% chance of $100 (50% chance of $0),58,41,205,696,Two extra weeks of salary with no additional work in 2136,Things will be much worse,I paid everything and saved some,11059,20573,45645,There were no major impacts on my financial situation,I make the minimum payment and the interest is charged,Below average but not poor,1943,Woman,Primary school,Not in paid employed (looking for work),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White",Non-Hispanic
AD372,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,$500 per month for 12 months,A 25% chance of $200 (75% chance of $0),295,103,58,544,Two extra weeks of vacation with no change in salary in 2137,Things will be somewhat better,I had to take on a lot of debt to pay my bills last month,13874,34644,18804,My financial situation became much worse,My debts increase beyond what I earn in a given month,Wealthy,1943,Man,MBA,Not in paid employment (by choice),"Asian,Native Alaskan","Hispanic,Non-Hispanic,Immigrant"
AD373,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,$500 per month for 12 months,Guaranteed $50,65,199,86,650,One extra week of salary for no additional work in 2136,Things will be much better,"Everything is paid off and I have enough to save, invest, or spend freely",45489,43001,29034,My financial situation became much better,I pay off any balances every month,Above average but not wealthy,1979,Other,Doctoral degree,Employed part-time (less than 25 hours per week),"Black or African-American,Native Alaskan,Native American","Hispanic,Non-Hispanic"
AD374,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,$500 per month for 12 months,A 75% chance of $67 (25% chance of $0),239,248,72,441,One extra week of vacation for no change in salary in 2136,Things will be somewhat worse,"Everything is paid off and I have enough to save, invest, or spend freely",38994,45300,17035,My financial situation became much better,I make the minimum payment and the interest is charged,Around average,1952,Man,College or university (Bachelor or equivalent),Not in paid employment (by choice),"Black or African-American,Native Alaskan,Native Hawaiian,White","Hispanic,Non-Hispanic"
AD375,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",A 50% chance of $100 (50% chance of $0),138,20,193,649,Two extra weeks of salary with no additional work in 2137,Things will be somewhat better,I had to take on some debt to pay them,44079,44295,12911,There were no major impacts on my financial situation,I pay off much of the balance,Wealthy,1936,Man,Graduate (Masters or equivalent),Employed part-time (less than 25 hours per week),"Asian,Native Alaskan,Native American,Pacific Islander","Hispanic,Non-Hispanic"
AD376,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",A 67% chance of $75 (33% chance of $0),102,271,87,540,Two extra weeks of vacation with no change in salary in 2138,Things will be much better,I paid everything but saved nothing,41605,30733,47578,My financial situation became much worse,I pay off much of the balance,Below average but not poor,1971,Prefer not to answer,Secondary school (high school),Full-time student,"Black or African-American,Native Alaskan,Native American","Hispanic,Non-Hispanic,Immigrant"
AD377,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",A 67% chance of $75 (33% chance of $0),264,106,206,424,One extra week of salary for no additional work in 2137,Things will be somewhat worse,I paid everything but saved nothing,15070,26385,40168,My financial situation became somewhat better,I pay off much of the balance,Above average but not wealthy,1923,Prefer not to answer,Primary school,Employed part-time (less than 25 hours per week),Native Hawaiian,"Hispanic,Non-Hispanic,Immigrant"
AD378,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $505 in 12 months,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",Guaranteed $50,11,189,144,656,One extra week of vacation for no change in salary in 2137,Things will be much better,I paid everything but saved nothing,46261,10999,26587,My financial situation became much better,My debts increase beyond what I earn in a given month,Poor,1986,Woman,MBA,Not in paid employment (by choice),"Asian,Black or African-American,Native Hawaiian,White","Non-Hispanic,Immigrant"
AD379,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 25% chance of $200 (75% chance of $0),248,136,255,361,Two extra weeks of salary with no additional work in 2039,Things will be somewhat better,I paid everything but saved nothing,36073,28908,12094,My financial situation became much better,My debts increase beyond what I earn in a given month,Around average,1973,Woman,Doctoral degree,Full-time student,"Black or African-American,Native American,Native Hawaiian","Hispanic,Non-Hispanic,Immigrant"
AD380,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",A 67% chance of $75 (33% chance of $0),196,199,278,327,Two extra weeks of salary with no additional work in 2138,Things will be somewhat better,I had to take on some debt to pay them,17582,46435,31175,My financial situation became somewhat worse,I pay off any balances every month,Around average,1997,Woman,Vocational school,Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,White","Hispanic,Immigrant"
AD381,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",Guaranteed $50,131,117,109,643,Two extra weeks of vacation with no change in salary in 2139,Things will be much worse,I paid everything and saved some,31076,17871,22633,My financial situation became much worse,I generally pay off the interest but not the balance,Above average but not wealthy,1933,Man,MBA,Employed part-time (less than 25 hours per week),"Black or African-American,Pacific Islander,White",Immigrant
AD382,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",A 50% chance of $100 (50% chance of $0),85,237,163,515,One extra week of salary for no additional work in 2138,Things will be much better,I could not pay all my bills last month,28571,27527,37843,My financial situation became somewhat worse,I pay off any balances every month,Around average,1993,Prefer not to answer,Doctoral degree,Not in paid employment (by choice),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Hispanic,Non-Hispanic,Immigrant"
AD383,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,$500 per month for 12 months,A 25% chance of $200 (75% chance of $0),282,293,236,189,One extra week of vacation for no change in salary in 2138,Things will be about the same,I paid everything and saved some,38408,14179,14393,My financial situation became somewhat worse,I pay off any balances every month,Below average but not poor,1982,Man,Doctoral degree,Not in paid employment (by choice),"Black or African-American,Pacific Islander",Non-Hispanic
AD384,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5500 in 12 months,,,Receiving $5000 right now,,Receiving $500 in 12 months (1 year),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$5,000 right now",A 25% chance of $200 (75% chance of $0),10,35,269,686,Two extra weeks of salary with no additional work in 2139,Things will be much better,I could not pay all my bills last month,37641,12432,26691,My financial situation became much better,I never purchase anything on credit or take on debt,Poor,1958,Woman,Graduate (Masters or equivalent),Not in paid employed (looking for work),"Black or African-American,Native Alaskan,Native Hawaiian,Pacific Islander","Hispanic,Non-Hispanic,Immigrant"
AD385,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$5,000 right now",Guaranteed $50,161,33,93,713,Two extra weeks of vacation with no change in salary in 2140,Things will be about the same,I could not pay all my bills last month,30267,33537,15946,My financial situation became much worse,I pay off much of the balance,Above average but not wealthy,1991,Other,Secondary school (high school),Not in paid employed (looking for work),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Hispanic,Non-Hispanic"
AD386,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$6,000 in 12 months",A 50% chance of $100 (50% chance of $0),55,159,276,510,One extra week of salary for no additional work in 2139,Things will be somewhat worse,I had to take on a lot of debt to pay my bills last month,44552,35514,18672,There were no major impacts on my financial situation,My debts increase beyond what I earn in a given month,Around average,1935,Man,Secondary school (high school),Employed part-time (less than 25 hours per week),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander",Non-Hispanic
AD387,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",Guaranteed $50,259,153,99,489,One extra week of vacation for no change in salary in 2139,Things will be somewhat better,I had to take on some debt to pay them,12106,21311,32859,My financial situation became somewhat better,I make the minimum payment and the interest is charged,Around average,2002,Woman,Doctoral degree,Not in paid employment (by choice),"Asian,Black or African-American,Native Alaskan,Native Hawaiian,Pacific Islander,White","Hispanic,Non-Hispanic,Immigrant"
AD388,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",Guaranteed $50,289,134,276,301,Two extra weeks of salary with no additional work in 2140,Things will be much better,I paid everything and saved some,12781,41220,11302,My financial situation became much better,I generally pay off the interest but not the balance,Around average,1978,Woman,Doctoral degree,Not in paid employed (looking for work),"Asian,Black or African-American,Pacific Islander,White","Hispanic,Non-Hispanic,Immigrant"
AD389,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",A 25% chance of $200 (75% chance of $0),30,259,35,676,Two extra weeks of vacation with no change in salary in 2141,Things will be about the same,I paid everything but saved nothing,30714,23642,15470,My financial situation became much better,My debts increase beyond what I earn in a given month,Above average but not wealthy,1977,Prefer not to answer,MBA,Not in paid employed (looking for work),Native American,Non-Hispanic
AD390,Receiving $500 right now,Receiving $500 right now,Receiving $750 in 12 months,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $1500 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 75% chance of $67 (25% chance of $0),12,88,299,601,Two extra weeks of vacation with no change in salary in 2040,Things will be somewhat better,I had to take on some debt to pay them,26389,33787,25622,My financial situation became somewhat worse,I pay off much of the balance,Above average but not wealthy,1924,Woman,Primary school,Full-time student,"Asian,Black or African-American,Native Alaskan,Pacific Islander","Hispanic,Non-Hispanic,Immigrant"
AD391,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",A 67% chance of $75 (33% chance of $0),251,55,91,603,One extra week of salary for no additional work in 2140,Things will be much worse,I could not pay all my bills last month,33851,17424,36414,My financial situation became much better,I make the minimum payment and the interest is charged,Around average,1982,Other,Primary school,Employed full-time (25+ hours per week),Native American,Non-Hispanic
AD392,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $510 in 12 months,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",A 75% chance of $67 (25% chance of $0),141,287,16,556,One extra week of vacation for no change in salary in 2140,Things will be somewhat better,I paid everything and saved some,43873,42800,14061,My financial situation became somewhat worse,My debts increase beyond what I earn in a given month,Below average but not poor,1974,Other,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),"Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander","Hispanic,Non-Hispanic,Immigrant"
AD393,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,Guaranteed $50,146,177,118,559,Two extra weeks of salary with no additional work in 2141,Things will be much better,I had to take on some debt to pay them,16171,36384,18642,My financial situation became much worse,I generally pay off the interest but not the balance,Below average but not poor,1997,Other,Primary school,Not in paid employment (by choice),Asian,"Hispanic,Non-Hispanic,Immigrant"
AD394,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",A 67% chance of $75 (33% chance of $0),51,38,55,856,Two extra weeks of vacation with no change in salary in 2142,Things will be much better,I had to take on a lot of debt to pay my bills last month,11342,27406,19178,My financial situation became much better,I pay off any balances every month,Above average but not wealthy,1999,Prefer not to answer,MBA,Employed part-time (less than 25 hours per week),"Native Alaskan,Native American,Native Hawaiian",Non-Hispanic
AD395,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$6,000 in 12 months",A 25% chance of $200 (75% chance of $0),213,95,18,674,One extra week of salary for no additional work in 2141,Things will be much better,I could not pay all my bills last month,19434,42732,48015,My financial situation became somewhat worse,I never purchase anything on credit or take on debt,Poor,1977,Other,College or university (Bachelor or equivalent),Employed part-time (less than 25 hours per week),"Native Alaskan,Native American,White",Non-Hispanic
AD396,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $400 right now,$500 per month for 12 months,Guaranteed $50,90,45,201,664,One extra week of vacation for no change in salary in 2141,Things will be much better,I had to take on a lot of debt to pay my bills last month,16736,43949,11512,My financial situation became much better,I never purchase anything on credit or take on debt,Around average,1993,Other,Vocational school,Not in paid employment (by choice),"Asian,Pacific Islander",Non-Hispanic
AD397,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$6,000 in 12 months",A 67% chance of $75 (33% chance of $0),280,274,142,304,Two extra weeks of salary with no additional work in 2142,Things will be much worse,I could not pay all my bills last month,49243,48958,21200,There were no major impacts on my financial situation,My debts increase beyond what I earn in a given month,Wealthy,1997,Other,MBA,Employed part-time (less than 25 hours per week),White,Immigrant
AD398,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5000 right now,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $400 right now,"$5,000 right now",A 75% chance of $67 (25% chance of $0),34,222,96,648,Two extra weeks of vacation with no change in salary in 2143,Things will be about the same,I had to take on some debt to pay them,15380,35380,34748,My financial situation became much worse,I never purchase anything on credit or take on debt,Around average,1930,Man,Vocational school,Employed part-time (less than 25 hours per week),Black or African-American,"Hispanic,Non-Hispanic"
AD399,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5500 in 12 months,,,Receiving $5100 in 12 months,Receiving $5050 in 12 months,Receiving $600 in 24 months (2 years),Receiving $1200 in 24 months (2 years),Receiving $500 in 12 months (1 year),$500 per month for 12 months,Guaranteed $50,5,53,95,847,One extra week of salary for no additional work in 2142,Things will be much better,"Everything is paid off and I have enough to save, invest, or spend freely",12885,31030,13692,My financial situation became much better,I pay off any balances every month,Around average,1950,Prefer not to answer,Doctoral degree,Employed part-time (less than 25 hours per week),"Native Alaskan,Native American,Pacific Islander","Hispanic,Immigrant"
